"Product Title",SKU,"Items Sold","N. Revenue",Orders,Category,Variations,Status,Stock
"BC06 Almond Semolina Sugee Butter Cake 500g",796-2,19,340.2,12,"4. Loaf Cakes, Same Day Order",0,N/A,N/A
"BC09 Real Dark Chocolate Slice",141,19,141,17,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"BC05 Yuzu Raspberry Cheesecake",221,19,937.5,19,"3. Cheesecakes, Cakes",6,N/A,N/A
"BC05 Caramel SeaSalt Cheesecake",216,18,1094,18,"3. Cheesecakes",7,N/A,N/A
"BC03 Eggless Carrot Walnut Cake",176,18,1230.2,18,"2. Special Diet Cakes",5,N/A,N/A
"BC02 Peanut Butter Jelly Cake",1577,18,898.7,18,"1. Signature Cakes",6,N/A,N/A
"Lemongrass Lime Pasta with Glazed Seabass",,18,242.2,12,Pasta,0,N/A,N/A
"BC06 Cherry Chocolate Pound Cake 500g",867-1,18,322.2,12,"4. Loaf Cakes, Same Day Order",0,N/A,N/A
"BCC1 Almond Biscotti",1469,18,165.63,15,"Bakery, Cookies",0,N/A,N/A
"BCC1 Matcha Chocolate Shortbread",1522,18,168.08,17,"Cookies, Same Day Order",0,N/A,N/A
"BC11 Lemon Cupcake",1517,18,75.6,7,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"*A06 Burnt Gingerbread Cheesecake 7""",XMAS013,17,739.92,16,"1. Christmas Cake",0,N/A,N/A
"BC07 Orange Cranberry Pound Cake",871,17,300.6,17,"4. Loaf Cakes",0,N/A,N/A
"BCC1 Chocolate Midnight Cookie",848,17,158.83,14,"Cookies, Same Day Order",0,N/A,N/A
"Festive Holiday Set B",,17,3450,17,"*Festive Sets*",0,"In stock",83
"BC10 Lemon Lust",842,16,60.04,8,"6. Slices &amp; Cupcakes",0,N/A,N/A
"BC04 Burnt Cheesecake - 7""R",795-1,16,704.25,16,"3. Cheesecakes, Same Day Order",0,N/A,N/A
"BC10 Blueberry Almond Slice",841,16,50.56,7,"6. Slices &amp; Cupcakes",0,N/A,N/A
"BCC1 Almond Crunch Cookie",837,16,157.18,13,"Cookies, Same Day Order",0,N/A,N/A
"KSP1 Mushroom Soup (250ml) - Daily",631,15,133.2,12,Soup,0,N/A,N/A
"BB04 Brioche",273,15,73,14,"4. Sweet",0,N/A,N/A
"BC05 Burnt Cheesecake",795,15,821.5,14,"3. Cheesecakes",3,N/A,N/A
"BP04 Cheese Scallion Scone Bundle",322,15,161.7,13,Pastries,0,N/A,N/A
"BC08 Pandan Ogura Cake",197,15,472,14,"5. Sponge Cakes &amp; Desserts",0,N/A,N/A
"*A05 Black Forest Cheesecake 7""",XMAS014,14,861.73,14,"1. Christmas Cake",0,N/A,N/A
"*H15 Plant Base Slider Platter",XMAS037,14,712.25,14,"4. Christmas Hot Food",0,N/A,N/A
"BC05 Blueberry Hazelnut Cheesecake",215,14,772.1,14,"3. Cheesecakes",7,N/A,N/A
"*B05 Fig & Pear Gingerbread Minced Pie",XMAS008,14,318.09,13,"3. Christmas Bread &amp; Pastries",2,N/A,N/A
"BB05 Jelly Donuts",,13,212.49,13,"4. Sweet",2,N/A,N/A
"BC03 Sugarless Carrot Walnut Cake",192,13,859.5,13,"2. Special Diet Cakes, Cakes",5,N/A,N/A
"Coriander Pesto Pasta with Grilled Prawns",,13,169.54,9,Pasta,0,N/A,N/A
"BCC1 Classic Chocolate Chip Cookie",806,13,129,12,"Cookies, Same Day Order",0,N/A,N/A
"BB04 Orange Cranberry Loaf",294,12,58.31,10,"4. Sweet",0,N/A,N/A
"SP06 Cedele's Favourite Bites 12s",1127,12,306.8,9,Sweet,0,N/A,N/A
"BB03 White Bloomer",267,12,69.02,10,"3. Rustic Loaves &amp; Buns, Same Day Order",0,N/A,N/A
"BCC1 Raspberry Thumbprint Cookie",809,12,120.3,11,"Cookies, Same Day Order",0,N/A,N/A
"Garlic & Spring Onion Pull-Apart Loaf",1485,12,94.4,10,Breads,0,N/A,N/A
"BC09 Red Velvet Slice",142,11,86.4,11,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"*A07 Jamaican Meyer's Dark Rum & Raisin Tiramisu",XMAS016,11,912.25,11,"1. Christmas Cake",0,N/A,N/A
"Herby Tomato Sea Salt Slab",1598,11,71.5,10,"Breads, Same Day Order",0,N/A,N/A
"SP05 Assorted Slice Bar",,11,119.9,7,Sweet,0,N/A,N/A
"BP01 Baby Brioche - Almond Cardamon",1589,11,28.84,7,Pastries,0,N/A,N/A
"BP02 Butter Croissant Bundle",321,10,115.32,10,Pastries,0,N/A,N/A
"BC02 Choc Cherry Financier Cake",164,10,649.8,10,"1. Signature Cakes",5,N/A,N/A
"KB03 Rosemary Chicken Sandwich",653,10,95,6,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"BP02 Choc Croissant Bundle",,10,127.4,9,Pastries,0,N/A,N/A
"BC09 C'mel Sea Salt Cheesecake Slice",211,10,74.25,10,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"KB02 Beef Cheeseburger",,10,118.95,8,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"BC05 Choc Cookies & Cream Cheesecake",217,10,468.5,10,"3. Cheesecakes",6,N/A,N/A
"*X06 Luxury Christmas Hamper",XMAS044,10,1478.4,7,"5. Hamper for Gifts",0,N/A,N/A
"BC07 Banana Walnut Loaf Cake",205,10,178.2,9,"4. Loaf Cakes",2,N/A,N/A
"BB03 Onion Olive Coriander",252,10,53.35,8,"3. Rustic Loaves &amp; Buns",0,N/A,N/A
"Spicy Chicken Yum Pasta",,10,123.5,8,Pasta,0,N/A,N/A
"BC10 Chocolate Belgian Marquise",839,10,37.62,6,"6. Slices &amp; Cupcakes",0,N/A,N/A
"SP06 Assorted Mini Cheesecake Box [Eggless] [V]",1130,10,302.8,10,Sweet,2,N/A,N/A
"SP05 Assorted Danish Box",,9,165.3,7,Sweet,0,N/A,N/A
"BP04 Cranberry Scone Bundle",327,9,86,9,Pastries,0,N/A,N/A
"BP05 Butter Briossant",1553,9,82.32,7,"Pastries, Same Day Order",0,N/A,N/A
"BB01 Toasted Granola Yoghurt Sourdough",1068,9,66,8,"1. Sourdough",0,N/A,N/A
"SP02 Picnic Box",1106,9,167.32,4,"Mix &amp; Match",0,N/A,N/A
"KP01 Pesto Veggie Garden Box",1098,9,121.8,7,Pasta,0,N/A,N/A
"SP03 Savoury Croissant Box",1116,9,237.6,7,Savoury,0,N/A,N/A
"SP05 Assorted Pastries Box",,8,200,4,Sweet,0,N/A,N/A
"SP03 Bangers & Mash Box",,7,266,6,Savoury,0,N/A,N/A
"KB01 Hearty Sandwich Set",,7,86.25,5,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"SP01 Assorted Muffin & Scone Box",,7,170,7,"Mix &amp; Match",0,N/A,N/A
"KSP1 Roasted Cauliflower (250ml) - Daily",,7,63,5,Soup,0,N/A,N/A
"BP04 Choc-Chip Drop Scone Bundle",899,7,57.5,6,Pastries,0,N/A,N/A
"BC08 Pandan Angel Sponge Cake",204,6,212.39,6,"5. Sponge Cakes &amp; Desserts",0,N/A,N/A
"KB04 Hammy Cheese Thins",648,6,50.15,5,Burgers/Sandwiches,0,N/A,N/A
"BC08 Matcha Tahini",203,6,216,6,"5. Sponge Cakes &amp; Desserts",0,N/A,N/A
"PT02 Full Green Tomato Cauli Rice",375,6,38.4,2,"Kitchen Essentials",0,N/A,N/A
"BP03 Carrot Walnut Muffin Bundle",1090,6,68.4,6,"Pastries, Same Day Order",0,N/A,N/A
"PT01 Cedele Green Rooibos Tea",485,6,43.5,4,Beverages,0,N/A,N/A
"BP03 Blueberry Crumble Muffin Bundle",319,6,72,6,"Pastries, Same Day Order",0,N/A,N/A
"SP05 Assorted Muffin Box",,6,147.5,5,Sweet,0,N/A,N/A
"PT02 Cedele Almond Nut Butter",453,6,84,6,"Kitchen Essentials, Vegan",0,N/A,N/A
"KB03 Roasted Chicken Avocado Sandwich",652,5,47.5,2,Burgers/Sandwiches,2,N/A,N/A
"PT03 Cedele Sun-dried Apricots",440,5,19.11,4,Snacks,0,N/A,N/A
"KB03 Pulled Pork Avocado Sandwich",654,5,46.55,5,Burgers/Sandwiches,2,N/A,N/A
"BC01 8"" R - Chocolate Matcha Cake",165-1,5,283.5,5,"1. Signature Cakes, Cakes, Same Day Order",0,N/A,N/A
"BP01 Baby Brioche - Choc Cherry",1590,5,13.72,2,Pastries,0,N/A,N/A
"*X01 Jolly Good Hamper",XMAS039,5,161.5,3,"*Christmas Catalog*, 5. Hamper for Gifts",0,N/A,N/A
"PT02 Cedele Raw Almond Nuts",451,5,43.61,3,"Kitchen Essentials",0,N/A,N/A
"KB04 Basil Pesto Chicken Thins",643,5,41.65,5,Burgers/Sandwiches,0,N/A,N/A
"SP01 Assorted Scone Box",,5,122.5,5,"Mix &amp; Match",0,N/A,N/A
"SP02 Assorted Mini Pastries",1122,5,132.5,5,"Mix &amp; Match",2,N/A,N/A
"BC06 Vanilla Sand Loaf Cake 500g",876,5,90,3,"4. Loaf Cakes",0,N/A,N/A
"Handmade Meatballs Tomato Pasta",,5,62.4,4,Pasta,0,N/A,N/A
"BC01 8"" R - Strawberry Fields Cake",191-1,4,224.2,4,"1. Signature Cakes, Same Day Order",0,N/A,N/A
"SP02 Happy Sunshine Platter",1137,4,260,3,"Mix &amp; Match",0,N/A,N/A
"KB04 Veggie Shrooms Thins",662,4,33.15,3,"Burgers/Sandwiches, Vegan",0,N/A,N/A
"PT01 Cedele Red Rooibos Tea",488,4,29.25,4,Beverages,0,N/A,N/A
"BC07 Cherry Chocolate Pound Cake",867,4,72,2,"4. Loaf Cakes",2,N/A,N/A
"PT02 Cedele Strawberry Jam",472,4,42.9,4,"Kitchen Essentials",0,N/A,N/A
"BC08 Berry Victoria",199,4,140.4,4,"5. Sponge Cakes &amp; Desserts",0,N/A,N/A
"PT01 Remedy Apple Crisp Kombucha",522,4,24.98,3,Beverages,0,N/A,N/A
"PT03 Protein Ball - Cacao Orange",364,4,12.6,1,Snacks,0,N/A,N/A
"KB03 Smoked Salmon Sandwich",655,4,38,2,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"PT01 Remedy Ginger Lemon Kombucha",538,4,27.6,3,Beverages,0,N/A,N/A
"BP04 Raspberry Almond Scone Bundle",339,4,48,3,Pastries,0,N/A,N/A
"BC01 6""R - Eggless Chocolate Truffle",178-1,4,171.45,4,"1. Signature Cakes, Cakes, Same Day Order",0,N/A,N/A
"PT02 Cedele Hazelnut Nut Butter",465,4,54.6,4,"Kitchen Essentials",0,N/A,N/A
"Caramel SeaSalt Cheesecake - 6""R",216-1,3,135,3,"Same Day Order",0,N/A,N/A
"PT02 Cedele White Fig Jam",473,3,31.9,3,"Kitchen Essentials",0,N/A,N/A
"PT01 Rebel Kitchen Iced Coffee",1251,3,10.44,3,Beverages,0,N/A,N/A
"PT02 Cedele Sunflower Seeds",447,3,11.7,2,"Kitchen Essentials, Vegan",0,N/A,N/A
"SP03 Meat Free Box",,3,114,3,"Savoury, Vegan",0,N/A,N/A
"BC07 Almond Semolina Sugee Butter Cake",796,3,54,2,"4. Loaf Cakes",2,N/A,N/A
"*X05 Premium Jolly Hamper",XMAS043,3,345.6,3,"5. Hamper for Gifts",0,N/A,N/A
"PT03 Cedele Granola & Whole Almond",427,3,11.6,3,Snacks,0,N/A,N/A
"PT02 Cedele Pumpkin Seeds",443,3,21,2,"Kitchen Essentials, Vegan",0,N/A,N/A
"BC06 Blueberry Crumble Sourcream Cake",1470,3,40.5,2,"4. Loaf Cakes",0,N/A,N/A
"PT01 Charitea Green Iced Tea",1244,3,11.76,2,Beverages,0,N/A,N/A
"PT02 Fix & Fogg Peanut Butter - Super Crunchy",464,3,29,3,"Kitchen Essentials",0,N/A,N/A
"SP02 Relaxing Tea Platter",1138,3,180,2,"Mix &amp; Match",0,N/A,N/A
"KB02 Grilled Beetroot and Avocado Burger",1198,3,31.9,3,"Burgers/Sandwiches, Same Day Order, Vegan",0,N/A,N/A
"PT03 Protein Bakeshop Hazelnut Truffles",897,2,16,2,Snacks,0,N/A,N/A
"PT01 Cedele Ginger Tea",484,2,15,2,Beverages,0,N/A,N/A
"PT02 Full Green Cauli Rice with Broccoli",373,2,12.8,2,"Kitchen Essentials",0,N/A,N/A
"PT02 Cedele Whole Rolled Oats",452,2,8,1,"Kitchen Essentials",0,N/A,N/A
"KB03 Ham & Cheese Sandwich",1200,2,19,2,Burgers/Sandwiches,0,N/A,N/A
"PT03 Uncle Sabas Poppadoms Tomato",413,2,4,2,Snacks,0,N/A,N/A
"*X04 Green Vegan Christmas Hamper",XMAS041,2,96,2,"5. Hamper for Gifts",0,N/A,N/A
"Test Bundle 1",,2,0,2,Bakery,0,N/A,N/A
"PT03 Cedele Salted Gula Melaka Mixed Nuts",445,2,11.8,2,Snacks,0,N/A,N/A
"PT03 Uncle Sabas Poppadoms Sweet Chili",411,2,4,2,Snacks,0,N/A,N/A
"PT01 Spa Foods Aged Ginger Tea",475,2,39,2,"Beverages, Same Day Order",0,N/A,N/A
"PT01 Charitea Mate Sparkling Tea",1245,2,8.4,1,Beverages,0,N/A,N/A
"SP01 Croissant & Cupcake Box",1118,2,52,1,"Mix &amp; Match",0,N/A,N/A
"PT03 Harvest Box Go Banana Snack Pack",432,2,5.2,2,Snacks,0,N/A,N/A
"KB02 Breaded Portobello Cheese Burger",,2,24,2,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"PT01 Rebel Kitchen Chocolate Mylk",1249,2,7.2,2,Beverages,0,N/A,N/A
"*X02 Santa's Chocolate Pantry Hamper",XMAS042,2,70.3,2,"5. Hamper for Gifts",0,N/A,N/A
"PT02 Jasberry Rice",435,1,6.75,1,"Kitchen Essentials",2,N/A,N/A
"PT01 Rebel Kitchen Chocolate Hazelnut Mylk",1250,1,3.6,1,Beverages,0,N/A,N/A
"PT03 Protein Bakeshop Cashew Caramel Truffles",898,1,8,1,Snacks,0,N/A,N/A
"BC07 Almond Semolina Sugee Butter Cake",796-1,1,33,1,Cakes,2,N/A,N/A
"SP04 Tomahawk & Bangers Box",,1,188,1,Savoury,0,N/A,N/A
"KB02 Grilled Cajun Chicken & Avocado Burger",1350,1,15.75,1,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"PT03 Natures Bakery Pomegranate Fig Bar",392,1,2.5,1,Snacks,0,N/A,N/A
"PT03 Cedele Toasted Coconut Chips",448,1,3.9,1,Snacks,0,N/A,N/A
"DIY Overnight Oats Box",,1,30,1,Bundles,0,N/A,N/A
"PT03 Protein Bakeshop Almond Butter Truffles",399,1,8,1,Snacks,0,N/A,N/A
"PTW1 Weibel Dom Pierre Sparkling Wine, California",513,1,48,1,Beverages,0,N/A,N/A
"BC01 8''R - Gula Melaka Pandan Cake",182-1,1,59,1,"1. Signature Cakes, Cakes, Same Day Order",0,N/A,N/A
"PT03 Protein Ball - Oat Breakfast Ball - Apple + Blueberry",347,1,3.5,1,Snacks,0,N/A,N/A
"PT02 Fix & Fogg Peanut Butter - Smooth",463,1,10,1,"Kitchen Essentials",0,N/A,N/A
"PTW1 Champagne Jean-Noel Haton Rose, France",498,1,70,1,"Beverages, Same Day Order",0,N/A,N/A
"PT01 Cedele Alkaline Water",529,1,1.8,1,Beverages,0,N/A,N/A
"BC02 Orange Apricot Cake",186,1,59,1,"1. Signature Cakes",5,N/A,N/A
"SP01 Croissant & Sweet Box",1119,1,19.8,1,"Mix &amp; Match",0,N/A,N/A
"PT01 Cedele Lemongrass Tea",486,1,7.5,1,Beverages,0,N/A,N/A
"KB03 Pulled Beef Avocado Sandwich",1041,1,9.5,1,"Burgers/Sandwiches, Same Day Order",2,N/A,N/A
"PT02 Full Green Cauliflower Rice",374,1,6.4,1,"Kitchen Essentials",0,N/A,N/A
"BC02 Blue Pea Coconut Cake",156,1,63,1,"1. Signature Cakes",5,N/A,N/A
"Prawn Otah Cookie",1388,1,8.33,1,"Cookies, Same Day Order",0,N/A,N/A
