Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2020-11-15 09:13:24",5711,completed,new,"1× BCC1 Classic Chocolate Chip Cookie, 1× Beef Cheeseburger, 2× BC10 Cherry Pistachio, 1× BC01 Red Velvet Cake-8""R",5,,86.2
"2020-11-15 08:18:35",5709,processed,new,"2× SP04 Sliders Box- 6pcs, 2× SP04 Sliders Box- 6pcs, 2× SP05 Assorted Pastries Box",6,,129.2
"2020-11-15 07:17:33",5708,completed,new,"1× *C01 Assorted Christmas Cookies, 1× BB04 Tahini Choc Pull-Apart Loaf, 1× BC08 Pandan Ogura Cake, 1× BP02 Butter Croissant Bundle, 2× BC10 Brownie With Walnut",6,,85.5
"2020-11-15 06:17:05",5707,completed,new,"1× BC02 Black Forest Cake",1,birm413,50.15
"2020-11-14 23:01:26",5706,processed,returning,"1× *H10 Truffle Portebello Mushroom & Feta Quiche, 2× BP04 Cheese Scallion Scone Bundle, 1× Salmon Grain Bowl Snack Box, 1× Mushroom Soup (250ml) - Daily, 1× Garlic & Spring Onion Pull-Apart Loaf, 1× *H11 Rustic Chorizo Bread Stuffing, 1× BC09 Carrot Walnut Slice",8,welcome10,143.1
"2020-11-14 22:23:52",5705,processed,new,"1× BB05 Jelly Donuts, 1× BC02 Chocolate Matcha Cake, 1× BB01 Blue Pea Sourdough",3,,85.5
"2020-11-14 21:49:05",5704,processed,returning,"1× *A03 Flourless Chocolate Logcake",1,welcome10,52.2
"2020-11-14 21:37:37",5703,processed,new,"3× *A02 Lychee Champagne Logcake",3,,204
"2020-11-14 17:43:53",5702,processed,new,"1× *B04 Classic Minced Pie, 1× BC02 Caramel Sea Salt Tiramisu",2,,85
"2020-11-14 16:53:53",5699,processed,new,"1× BC03 Vegan Earl Grey Belgian Chocolate Berries Cake",1,welcome10,56.7
"2020-11-14 16:36:19",5698,processed,new,"1× *H01 Rosemary & Butter-Roasted Turkey, 1× *B04 Classic Minced Pie, 1× *B04 Classic Minced Pie, 1× *H07 Canadian Maple Ham",4,welcome10,315
"2020-11-14 16:21:05",5697,processed,new,"1× SP01 Assorted Muffin & Scone Box, 1× BC02 Carrot Walnut Cake",2,,84
"2020-11-14 16:07:25",5696,pending,returning,"2× BCC1 Almond Crunch Cookie",2,,18.5
"2020-11-14 15:54:05",5695,completed,new,"1× BB03 Plain Ciabatta, 4× BC10 Brownie With Walnut, 2× BB01 Wholewheat Sourdough, 1× BB03 White Bloomer",8,,38.9
"2020-11-14 15:46:50",5694,processed,new,"1× SP04 Sliders Box- 6pcs, 1× SP04 Assorted Mini Savory Tartlets 12s",2,,47.8
"2020-11-14 15:41:31",5693,processed,new,"1× *C04 Christmas Biscotti, 1× BB04 Milk & Butter Bread, 1× BC09 Carrot Walnut Slice, 1× SP04 Assorted Mini Savory Tartlets 12s, 1× Champagne Jean-Noel Haton Rose, France",5,,139.8
"2020-11-14 15:29:23",5692,processed,new,"1× BC01 Red Velvet Cake-8""R, 1× Salted Gula Melaka Mixed Nuts, 1× BCC1 Matcha Chocolate Shortbread, 1× Fix & Fogg Peanut Butter - Super Crunchy",4,,69.7
"2020-11-14 15:21:57",5691,completed,returning,"1× BC02 Gula Melaka Pandan Cake",1,,59
"2020-11-14 15:21:37",5690,processed,returning,"1× BC01 Red Velvet Cake-8""R",1,,59
"2020-11-14 15:19:32",5689,completed,new,"1× *A04 Hojicha Matcha Yuzu Block Cake",1,welcome10,80.1
"2020-11-14 15:04:36",5688,processed,returning,"1× BC02 Chocolate Matcha Cake",1,,63
"2020-11-14 14:57:59",5687,completed,returning,"1× BC02 Ondeh Ondeh Cake",1,,45
"2020-11-14 14:51:43",5686,processed,new,"1× BC02 Red Velvet Cake",1,,59
"2020-11-14 14:47:57",5685,processed,returning,"1× BC02 Choc Banana Espresso Cake",1,,59
"2020-11-14 14:17:41",5684,processed,returning,"1× BC02 Chocolate Fudge Cake",1,,63
"2020-11-14 13:51:38",5683,completed,returning,"1× BCC1 Almond Biscotti, 1× BCC1 Chocolate Midnight Cookie, 1× BCC1 Classic Chocolate Chip Cookie, 1× BCC1 Oatmeal Cranberry Cookie, 1× BCC1 Raspberry Thumbprint Cookie, 1× BCC1 Almond Crunch Cookie, 1× BP03 2-Berry Muffin Bundle, 1× BB04 Tahini Choc Pull-Apart Loaf",8,,110.4
"2020-11-14 13:51:04",5682,completed,new,"1× BC05 Burnt Cheesecake",1,,45
"2020-11-14 13:47:25",5681,completed,new,"1× BC04 Burnt Cheesecake - 7""R",1,,45
"2020-11-14 13:45:43",5680,processed,new,"1× BC08 Pandan Angel Sponge Cake",1,,36
"2020-11-14 13:43:41",5679,completed,new,"1× BC02 Red Velvet Cake",1,,59
"2020-11-14 13:19:34",5678,processed,new,"1× BC02 Carrot Walnut Cake, 1× SP04 Assorted Mini Savory Tartlets 12s",2,,87
"2020-11-14 13:00:35",5677,processed,new,"1× *H01 Rosemary & Butter-Roasted Turkey",1,welcome10,142.2
"2020-11-14 12:53:42",5676,processed,new,"1× *A04 Hojicha Matcha Yuzu Block Cake",1,welcome10,80.1
"2020-11-14 12:49:03",5675,completed,new,"1× BB02 Wholemeal 4 Seeds, 2× BCC1 Almond Biscotti, 1× BB01 Wholewheat Sourdough, 1× BB04 Cinnamon Swirl",5,,28.1
"2020-11-14 12:18:42",5674,completed,new,"1× BC05 Caramel SeaSalt Cheesecake",1,welcome10,40.5
"2020-11-14 12:04:26",5673,completed,new,"1× BC02 Chocolate Matcha Cake",1,,63
"2020-11-14 11:35:46",5672,completed,new,"1× *A03 Flourless Chocolate Logcake, 1× BB01 Wholewheat Sourdough",2,,64.5
"2020-11-14 11:23:25",5671,processed,new,"1× Salmon Grain Bowl Snack Box, 1× Beef Cheeseburger, 1× BC02 Peanut Butter Jelly Cake",3,welcome10,81.9
"2020-11-14 11:13:39",5669,completed,new,"12× BC11 Double Chocolate Cupcake",12,,50.4
"2020-11-14 11:04:58",5668,completed,new,"1× *A02 Lychee Champagne Logcake, 1× *H01 Rosemary & Butter-Roasted Turkey, 1× *H10 Truffle Portebello Mushroom & Feta Quiche, 1× *H12 Winter Truffle Mash Potato",4,,304
"2020-11-14 10:50:05",5667,completed,new,"1× BC02 Eggless Chocolate Truffle",1,,59
"2020-11-14 10:37:42",5666,completed,new,"1× BC02 Strawberry Fields Cake, 1× BB04 Cinnamon Swirl, 1× BP04 Cranberry Scone Bundle, 1× BC09 Carrot Walnut Slice, 1× BB04 Tahini Choc Pull-Apart Loaf, 1× BC10 Blueberry Almond Slice, 1× BC10 Cherry Pistachio",7,welcome10,85.05
"2020-11-14 10:21:22",5665,completed,returning,"1× BC08 Pandan Ogura Cake",1,,32
"2020-11-14 08:51:18",5664,completed,new,"2× SP03 Bangers & Mash Box, 2× SP01 Savoury Croissant Box, 1× KB01 Hearty Meal Box, 2× Grilled Chicken Grain Bowl Snack Box",7,,175.9
"2020-11-14 07:31:25",5663,completed,new,"1× *C02 Assorted Premium Butter Shortbread, 1× BC01 Carrot Walnut Cake - 8""R, 1× Spa Foods Aged Ginger Tea",3,,106.5
"2020-11-14 07:28:17",5662,completed,new,"1× BC02 Gula Melaka Pandan Cake",1,,59
"2020-11-14 07:20:28",5661,completed,new,"1× Grilled Chicken Grain Bowl Snack Box, 1× BB03 Plain Ciabatta, 1× Noah's Apple Peach Kiwi Fruit Mango Lime Juice Smoothie, 1× Salmon Grain Bowl Snack Box, 1× SP03 Bangers & Mash Box, 1× Pesto Veggie Garden Box",6,,92.5
"2020-11-13 23:33:20",5660,completed,new,"2× BC09 Ondeh Ondeh Slice",2,,15
"2020-11-13 23:16:40",5659,completed,new,"1× BC03 Vegan Earl Grey Belgian Chocolate Berries Cake, 1× BB03 Onion Olive Coriander, 2× BP03 2-Berry Muffin Bundle",4,welcome10,83.25
"2020-11-13 21:24:31",5658,completed,new,"1× BC02 Ondeh Ondeh Cake",1,welcome10,40.5
"2020-11-13 21:20:27",5657,completed,new,"1× BC01 Carrot Walnut Cake - 8""R",1,welcome10,53.1
"2020-11-13 21:18:37",5656,pending,new,"1× BC02 Ondeh Ondeh Cake",1,welcome10,40.5
"2020-11-13 21:07:27",5655,completed,new,"1× BC02 Carrot Walnut Cake",1,,59
"2020-11-13 21:03:43",5654,processed,new,"1× BC02 Carrot Walnut Cake",1,,59
"2020-11-13 20:46:56",5653,completed,new,"1× BC02 Black Forest Cake",1,,59
"2020-11-13 17:54:25",5650,completed,returning,"1× BC02 Carrot Walnut Cake",1,,59
"2020-11-13 17:32:16",5649,completed,new,"1× BB03 Plain Ciabatta, 1× BC09 Carrot Walnut Slice, 1× BB02 Wholemeal Walnut, 1× BB04 Brioche, 1× BC10 Cherry Pistachio, 1× Beef Cheeseburger, 1× Basil Pesto Chicken Thins, 1× Salmon Grain Bowl Snack Box, 1× BC09 Red Velvet Slice, 1× Cedele Hazelnut Nut Butter, 1× BP01 Baby Brioche - Almond Cardamon",11,,87.3
"2020-11-13 17:27:19",5648,processed,returning,"1× BC02 Blueberry Maple Cake",1,,59
"2020-11-13 17:19:50",5646,completed,new,"1× Ondeh Ondeh Cake - 6""R, 1× BP03 2-Berry Muffin Bundle, 1× BP03 Blueberry Crumble Muffin Bundle, 1× BB04 Hot Cross Buns Bundle",4,,80.5
"2020-11-13 17:13:00",5645,completed,returning,"1× BC02 Lychee Rose Cake",1,,59
"2020-11-13 17:11:09",5644,completed,new,"1× BC02 Carrot Walnut Cake",1,,59
"2020-11-13 16:40:53",5643,completed,returning,"1× BC01 Carrot Walnut Cake - 8""R, 1× *C01 Assorted Christmas Cookies",2,,87
"2020-11-13 16:37:06",5642,pending,new,"1× *C01 Assorted Christmas Cookies, 1× BC01 Carrot Walnut Cake - 8""R",2,,87
"2020-11-13 16:36:10",5641,completed,new,"1× BC05 Yuzu Raspberry Cheesecake",1,welcome10,40.5
"2020-11-13 16:32:44",5640,completed,returning,"1× BC02 Gula Melaka Pandan Cake",1,,59
"2020-11-13 16:23:25",5639,processed,returning,"1× BC02 Chocolate Matcha Cake",1,,63
"2020-11-13 16:16:02",5638,pending,new,"1× BC02 Chocolate Matcha Cake",1,,63
"2020-11-13 15:39:42",5637,completed,new,"1× KB01 Hearty Meal Box, 1× KB01 Hearty Meal Box",2,welcome10,28.62
"2020-11-13 15:17:35",5634,completed,new,"1× BC01 Red Velvet Cake-8""R, 2× BB01 Wholewheat Sourdough",3,,72
"2020-11-13 15:04:08",5633,completed,returning,"2× Grilled Chicken Garlic Aglio Olio Snack Box, 2× Noah's Apple Beetroot Orange Carrot Ginger Veggie Juice, 6× Salmon Grain Bowl Snack Box, 5× Noah's Apple Peach Kiwi Fruit Mango Lime Juice Smoothie, 2× KB01 Hearty Meal Box, 1× BC09 Carrot Walnut Slice, 1× Rebel Kitchen Chocolate Mylk, 1× SP02 Picnic Box, 1× BCC1 Almond Crunch Cookie, 1× BCC1 Classic Chocolate Chip Cookie, 1× SP04 Assorted Mini Savory Tartlets 12s, 1× SP05 Assorted Muffin Box, 1× SP05 Assorted Slice Bar, 1× BC10 Chocolate Belgian Marquise, 1× Pulled Pork Avocado Sandwich, 1× Pulled Beef Avocado Sandwich, 1× Beef Cheeseburger, 2× Noah's Apple Watermelon Mint Juice, 1× Breaded Portobello Cheese Burger, 1× Mushroom Soup (250ml) - Daily, 1× Rebel Kitchen Iced Coffee, 1× Rebel Kitchen Chocolate Hazelnut Mylk, 1× SP02 Picnic Box, 1× BC11 Red Velvet Earl Grey Cupcake, 2× BC11 Lemon Cupcake, 2× Lemongrass Lime Pasta with Glazed Seabass, 2× Spicy Chicken Yum Pasta, 2× Handmade Meatballs Tomato Pasta",45,,500
"2020-11-13 14:40:26",5632,completed,new,"1× BC01 Carrot Walnut Cake - 8""R, 1× BC07 Banana Walnut Loaf Cake, 2× BB04 Milk & Butter Bread, 1× BB04 Cinnamon Swirl",5,welcome10,84.42
"2020-11-13 14:35:04",5631,processed,new,"1× BC02 Eggless Chocolate Truffle",1,,45
"2020-11-13 14:18:41",5630,processed,new,"1× *H05 Classic Sausage Platter, 1× *C03 Chocolate Cookies Collection",2,welcome10,85.5
"2020-11-13 12:41:15",5629,completed,returning,"1× BC02 Carrot Walnut Cake",1,,59
"2020-11-13 12:29:55",5628,completed,new,"1× BC02 Chocolate Fudge Cake",1,,63
"2020-11-13 12:08:01",5624,completed,new,"1× BC01 Carrot Walnut Cake - 8""R",1,,59
"2020-11-13 11:32:13",5616,completed,returning,"1× BC02 Choc Banana Espresso Cake",1,,59
"2020-11-13 11:19:12",5615,processed,new,"1× BC05 Yuzu Raspberry Cheesecake",1,,45
"2020-11-13 11:12:37",5614,completed,new,"1× Real Dark Chocolate Cake - 6""R",1,,45
"2020-11-13 10:52:18",5613,completed,new,"2× BC02 Carrot Walnut Cake, 1× BP03 Carrot Walnut Muffin Bundle, 1× BP04 Choc-Chip Drop Scone Bundle",4,welcome10,126.9
"2020-11-13 10:43:36",5612,pending,new,"1× BB03 Plain Ciabatta",1,,3.9
"2020-11-13 10:17:13",5611,completed,new,"1× BC02 Caramel Sea Salt Tiramisu, 1× Herby Tomato Sea Salt Slab, 1× BB02 Wholemeal Walnut, 1× BB04 Tahini Choc Pull-Apart Loaf, 1× BCC1 Almond Crunch Cookie",5,,91.1
"2020-11-13 09:47:18",5610,completed,new,"1× Ondeh Ondeh Cake - 6""R",1,,45
"2020-11-13 09:39:12",5609,processed,new,"1× *H01 Rosemary & Butter-Roasted Turkey",1,,158
"2020-11-13 09:16:45",5608,completed,returning,"4× KB01 Hearty Meal Box, 2× KB01 Hearty Meal Box, 2× KB01 Hearty Meal Box, 2× KB01 Hearty Meal Box, 2× SP01 Awesome Box, 2× SP01 Awesome Box",14,,219
"2020-11-13 09:13:59",5607,processed,new,"1× BC08 Pandan Angel Sponge Cake, 1× BB01 Rye Sourdough",2,,42.3
"2020-11-13 09:07:49",5606,completed,new,"1× BC02 Gula Melaka Pandan Cake",1,,59
"2020-11-13 08:13:01",5605,processed,new,"1× BC02 Gula Melaka Pandan Cake",1,,59
"2020-11-13 07:49:40",5604,processed,new,"1× *H06 Morrocan Chicken Rice Pilaf",1,,59
"2020-11-13 04:46:45",5603,completed,new,"1× BC02 Lychee Rose Cake",1,,59
"2020-11-13 00:51:29",5602,processed,new,"1× BC03 Vegan Earl Grey Belgian Chocolate Berries Cake",1,welcome10,56.7
"2020-11-12 22:43:25",5600,completed,new,"1× BB01 Blue Pea Sourdough, 1× Ondeh Ondeh Cake - 6""R, 1× Salmon Grain Bowl Snack Box, 1× KB01 Hearty Sandwich Set",4,,81
"2020-11-12 21:36:36",5598,completed,new,"1× BC02 Caramel Sea Salt Tiramisu",1,,63
